redis_1          | 1:M 17 Oct 2025 08:58:18.019 * 1 changes in 3600 seconds. Saving...
redis_1          | 109:C 17 Oct 2025 16:58:26.062 * DB saved on disk
redis_1          | 109:C 17 Oct 2025 16:58:26.063 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 16:58:26.157 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 17:58:27.008 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 17:58:27.009 * Background saving started by pid 110
redis_1          | 110:C 17 Oct 2025 17:58:27.015 * DB saved on disk
redis_1          | 110:C 17 Oct 2025 17:58:27.016 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 17:58:27.110 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 18:58:28.059 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 18:58:28.060 * Background saving started by pid 111
redis_1          | 111:C 17 Oct 2025 18:58:28.066 * DB saved on disk
redis_1          | 111:C 17 Oct 2025 18:58:28.067 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 18:58:28.162 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 19:58:29.016 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 19:58:29.017 * Background saving started by pid 112
redis_1          | 112:C 17 Oct 2025 19:58:29.023 * DB saved on disk
redis_1          | 112:C 17 Oct 2025 19:58:29.024 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 19:58:29.118 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 20:58:30.092 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 20:58:30.093 * Background saving started by pid 113
redis_1          | 113:C 17 Oct 2025 20:58:30.099 * DB saved on disk
redis_1          | 113:C 17 Oct 2025 20:58:30.100 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 20:58:30.194 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 21:58:31.072 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 21:58:31.073 * Background saving started by pid 114
redis_1          | 114:C 17 Oct 2025 21:58:31.080 * DB saved on disk
redis_1          | 114:C 17 Oct 2025 21:58:31.081 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 21:58:31.174 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 22:58:32.062 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 22:58:32.063 * Background saving started by pid 115
redis_1          | 115:C 17 Oct 2025 22:58:32.069 * DB saved on disk
redis_1          | 115:C 17 Oct 2025 22:58:32.070 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 22:58:32.164 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 23:58:33.098 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 23:58:33.099 * Background saving started by pid 116
redis_1          | 116:C 17 Oct 2025 23:58:33.104 * DB saved on disk
redis_1          | 116:C 17 Oct 2025 23:58:33.105 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 23:58:33.200 * Background saving terminated with success
redis_1          | 1:M 18 Oct 2025 00:58:34.067 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 18 Oct 2025 00:58:34.068 * Background saving started by pid 117
redis_1          | 117:C 18 Oct 2025 00:58:34.074 * DB saved on disk
redis_1          | 117:C 18 Oct 2025 00:58:34.074 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 18 Oct 2025 00:58:34.169 * Background saving terminated with success
redis_1          | 1:M 18 Oct 2025 01:58:35.085 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 18 Oct 2025 01:58:35.086 * Background saving started by pid 118
redis_1          | 118:C 18 Oct 2025 01:58:35.092 * DB saved on disk
redis_1          | 118:C 18 Oct 2025 01:58:35.092 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 18 Oct 2025 01:58:35.187 * Background saving terminated with success
celery-worker_1  | [2025-10-14 17:45:00,051: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[3db1deb3-4859-4001-9cee-4117e6a78f0e] succeeded in 0.02979234978556633s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 18:00:00,017: INFO/MainProcess] Task planning.tasks.send_reminder_hours_before[65f04648-ec7e-4eb4-9d64-b4a0fb9c9e9a] received
celery-worker_1  | [2025-10-14 18:00:00,049: INFO/MainProcess] Task planning.tasks.send_deadline_notification[701bac2f-8e41-4ce1-a9a5-0590335a5a92] received
celery-worker_1  | [2025-10-14 18:00:00,053: WARNING/ForkPoolWorker-2] [Rappel 3h] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 18:00:00,054: INFO/ForkPoolWorker-2] Task planning.tasks.send_reminder_hours_before[65f04648-ec7e-4eb4-9d64-b4a0fb9c9e9a] succeeded in 0.036021183244884014s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 18:00:00,088: WARNING/ForkPoolWorker-1] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 18:00:00,091: INFO/ForkPoolWorker-1] Task planning.tasks.send_deadline_notification[701bac2f-8e41-4ce1-a9a5-0590335a5a92] succeeded in 0.04017096571624279s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 18:15:00,027: INFO/MainProcess] Task planning.tasks.send_deadline_notification[16930139-0850-4e93-8b0b-c20cb9717f1e] received
celery-worker_1  | [2025-10-14 18:15:00,057: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 18:15:00,059: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[16930139-0850-4e93-8b0b-c20cb9717f1e] succeeded in 0.030075461138039827s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 18:30:00,030: INFO/MainProcess] Task planning.tasks.send_deadline_notification[67d7e786-3c8c-41c6-86d3-1d7c3aa4fe01] received
celery-worker_1  | [2025-10-14 18:30:00,071: INFO/MainProcess] Task planning.tasks.send_reminder_hours_before[eb94b2ac-887c-486c-b0a2-0a7bd2dde308] received
celery-worker_1  | [2025-10-14 18:30:00,095: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 18:30:00,099: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[67d7e786-3c8c-41c6-86d3-1d7c3aa4fe01] succeeded in 0.06554748769849539s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 18:30:00,143: WARNING/ForkPoolWorker-1] [Rappel 3h] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 18:30:00,145: INFO/ForkPoolWorker-1] Task planning.tasks.send_reminder_hours_before[eb94b2ac-887c-486c-b0a2-0a7bd2dde308] succeeded in 0.07208864483982325s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 18:45:00,027: INFO/MainProcess] Task planning.tasks.send_deadline_notification[9100c576-a1ae-450d-b6ad-02aad7666959] received
celery-worker_1  | [2025-10-14 18:45:00,055: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 18:45:00,057: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[9100c576-a1ae-450d-b6ad-02aad7666959] succeeded in 0.028035013005137444s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 19:00:00,016: INFO/MainProcess] Task planning.tasks.send_reminder_hours_before[9dbeb814-b3d9-4daa-bdfd-cfcafff1cda5] received
celery-worker_1  | [2025-10-14 19:00:00,033: INFO/MainProcess] Task planning.tasks.send_deadline_notification[218a56ba-7763-4914-843f-70f9cc7742f8] received
celery-worker_1  | [2025-10-14 19:00:00,051: WARNING/ForkPoolWorker-2] [Rappel 3h] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 19:00:00,053: INFO/ForkPoolWorker-2] Task planning.tasks.send_reminder_hours_before[9dbeb814-b3d9-4daa-bdfd-cfcafff1cda5] succeeded in 0.03576116310432553s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 19:00:00,077: WARNING/ForkPoolWorker-1] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 19:00:00,079: INFO/ForkPoolWorker-1] Task planning.tasks.send_deadline_notification[218a56ba-7763-4914-843f-70f9cc7742f8] succeeded in 0.044424917083233595s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 19:15:00,015: INFO/MainProcess] Task planning.tasks.send_deadline_notification[12dc7023-36fe-4baa-a2f2-49fab9d2cd5f] received
celery-worker_1  | [2025-10-14 19:15:00,047: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 19:15:00,049: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[12dc7023-36fe-4baa-a2f2-49fab9d2cd5f] succeeded in 0.030794923193752766s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 19:30:00,015: INFO/MainProcess] Task planning.tasks.send_reminder_hours_before[e764f2eb-8511-4682-88f6-7d1cf99ad640] received
celery-worker_1  | [2025-10-14 19:30:00,045: WARNING/ForkPoolWorker-2] [Rappel 3h] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 19:30:00,048: INFO/ForkPoolWorker-2] Task planning.tasks.send_reminder_hours_before[e764f2eb-8511-4682-88f6-7d1cf99ad640] succeeded in 0.031035919208079576s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 19:30:00,057: INFO/MainProcess] Task planning.tasks.send_deadline_notification[3294098e-3acd-460b-8517-1c50e2eb4bae] received
celery-worker_1  | [2025-10-14 19:30:00,089: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 19:30:00,091: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[3294098e-3acd-460b-8517-1c50e2eb4bae] succeeded in 0.03181492490693927s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 19:45:00,010: INFO/MainProcess] Task planning.tasks.send_deadline_notification[bfdaa7dc-7f53-4d62-9cf1-0242aed7ac36] received
celery-worker_1  | [2025-10-14 19:45:00,036: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 19:45:00,039: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[bfdaa7dc-7f53-4d62-9cf1-0242aed7ac36] succeeded in 0.027611446101218462s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 20:00:00,014: INFO/MainProcess] Task planning.tasks.send_deadline_notification[2d54966f-4fa1-4f2f-a26c-752c2396f2e5] received
celery-worker_1  | [2025-10-14 20:00:00,043: INFO/MainProcess] Task planning.tasks.send_reminder_hours_before[6b1b6263-a345-488d-bcba-7cf49bee1b29] received
celery-worker_1  | [2025-10-14 20:00:00,050: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 20:00:00,052: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[2d54966f-4fa1-4f2f-a26c-752c2396f2e5] succeeded in 0.0359194241464138s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 20:00:00,080: WARNING/ForkPoolWorker-1] [Rappel 3h] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 20:00:00,088: INFO/ForkPoolWorker-1] Task planning.tasks.send_reminder_hours_before[6b1b6263-a345-488d-bcba-7cf49bee1b29] succeeded in 0.04405930172652006s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 20:15:00,026: INFO/MainProcess] Task planning.tasks.send_deadline_notification[866a7a77-f9bd-4409-8823-c7a0d43070b6] received
celery-worker_1  | [2025-10-14 20:15:00,056: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 20:15:00,058: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[866a7a77-f9bd-4409-8823-c7a0d43070b6] succeeded in 0.030778946820646524s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 20:30:00,012: INFO/MainProcess] Task planning.tasks.send_reminder_hours_before[2526a81a-aaa9-44ea-bdad-2ddf4f341e4d] received
celery-worker_1  | [2025-10-14 20:30:00,042: INFO/MainProcess] Task planning.tasks.send_deadline_notification[5d07af98-64cf-4576-a913-ac81f5fb51ca] received
celery-worker_1  | [2025-10-14 20:30:00,045: WARNING/ForkPoolWorker-2] [Rappel 3h] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 20:30:00,046: INFO/ForkPoolWorker-2] Task planning.tasks.send_reminder_hours_before[2526a81a-aaa9-44ea-bdad-2ddf4f341e4d] succeeded in 0.032919937279075384s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 20:30:00,088: WARNING/ForkPoolWorker-1] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 20:30:00,091: INFO/ForkPoolWorker-1] Task planning.tasks.send_deadline_notification[5d07af98-64cf-4576-a913-ac81f5fb51ca] succeeded in 0.04763665283098817s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 20:45:00,017: INFO/MainProcess] Task planning.tasks.send_deadline_notification[7eebefef-e272-40ac-b7f5-5687fc4bc75e] received
celery-worker_1  | [2025-10-14 20:45:00,046: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 20:45:00,051: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[7eebefef-e272-40ac-b7f5-5687fc4bc75e] succeeded in 0.03291584784165025s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 21:00:00,027: INFO/MainProcess] Task planning.tasks.send_deadline_notification[29cbb39e-ea89-4786-9fd5-6f76d6bda905] received
celery-worker_1  | [2025-10-14 21:00:00,058: INFO/MainProcess] Task planning.tasks.send_reminder_hours_before[0cbfdad7-d1ba-4a49-80b0-366dcdd45df3] received
celery-worker_1  | [2025-10-14 21:00:00,070: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 21:00:00,072: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[29cbb39e-ea89-4786-9fd5-6f76d6bda905] succeeded in 0.04334468999877572s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 21:00:00,095: WARNING/ForkPoolWorker-1] [Rappel 3h] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 21:00:00,101: INFO/ForkPoolWorker-1] Task planning.tasks.send_reminder_hours_before[0cbfdad7-d1ba-4a49-80b0-366dcdd45df3] succeeded in 0.04156814655289054s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 21:15:00,043: INFO/MainProcess] Task planning.tasks.send_deadline_notification[09a97253-f1cb-4d44-ac0d-721027693a46] received
celery-worker_1  | [2025-10-14 21:15:00,070: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 21:15:00,073: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[09a97253-f1cb-4d44-ac0d-721027693a46] succeeded in 0.02845378778874874s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 21:30:00,022: INFO/MainProcess] Task planning.tasks.send_reminder_hours_before[4d50577f-febe-4e54-9436-f4951ff2246a] received
celery-worker_1  | [2025-10-14 21:30:00,050: INFO/MainProcess] Task planning.tasks.send_deadline_notification[107b9a58-e220-4f92-9b64-3824de9a818b] received
celery-worker_1  | [2025-10-14 21:30:00,056: WARNING/ForkPoolWorker-2] [Rappel 3h] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 21:30:00,058: INFO/ForkPoolWorker-2] Task planning.tasks.send_reminder_hours_before[4d50577f-febe-4e54-9436-f4951ff2246a] succeeded in 0.03262546379119158s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 21:30:00,095: WARNING/ForkPoolWorker-1] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 21:30:00,101: INFO/ForkPoolWorker-1] Task planning.tasks.send_deadline_notification[107b9a58-e220-4f92-9b64-3824de9a818b] succeeded in 0.04982524598017335s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 21:45:00,023: INFO/MainProcess] Task planning.tasks.send_deadline_notification[cde193e6-bbd4-45ad-bd18-0d410e26e407] received
celery-worker_1  | [2025-10-14 21:45:00,050: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 21:45:00,052: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[cde193e6-bbd4-45ad-bd18-0d410e26e407] succeeded in 0.02692848676815629s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 22:00:00,041: INFO/MainProcess] Task planning.tasks.send_reminder_hours_before[41548ce6-57c6-4542-8490-616a4476a91d] received
celery-worker_1  | [2025-10-14 22:00:00,063: INFO/MainProcess] Task planning.tasks.send_deadline_notification[311c1842-6b42-4425-9ee7-24e493a9f783] received
celery-worker_1  | [2025-10-14 22:00:00,079: WARNING/ForkPoolWorker-2] [Rappel 3h] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 22:00:00,082: INFO/ForkPoolWorker-2] Task planning.tasks.send_reminder_hours_before[41548ce6-57c6-4542-8490-616a4476a91d] succeeded in 0.03976541804149747s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 22:00:00,107: WARNING/ForkPoolWorker-1] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 22:00:00,110: INFO/ForkPoolWorker-1] Task planning.tasks.send_deadline_notification[311c1842-6b42-4425-9ee7-24e493a9f783] succeeded in 0.04505578801035881s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 22:15:00,024: INFO/MainProcess] Task planning.tasks.send_deadline_notification[6b6eb593-3986-4c3d-b528-31a903d01b48] received
celery-worker_1  | [2025-10-14 22:15:00,047: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 22:15:00,049: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[6b6eb593-3986-4c3d-b528-31a903d01b48] succeeded in 0.023935452103614807s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 22:30:00,013: INFO/MainProcess] Task planning.tasks.send_deadline_notification[cf44c7a6-c0d9-441c-8da3-8c28ab9af980] received
celery-worker_1  | [2025-10-14 22:30:00,043: INFO/MainProcess] Task planning.tasks.send_reminder_hours_before[c92f8a98-7f25-4e48-b1a3-a2f0af5b8639] received
celery-worker_1  | [2025-10-14 22:30:00,053: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 22:30:00,056: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[cf44c7a6-c0d9-441c-8da3-8c28ab9af980] succeeded in 0.04055182123556733s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 22:30:00,087: WARNING/ForkPoolWorker-1] [Rappel 3h] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 22:30:00,090: INFO/ForkPoolWorker-1] Task planning.tasks.send_reminder_hours_before[c92f8a98-7f25-4e48-b1a3-a2f0af5b8639] succeeded in 0.04541228897869587s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 22:45:00,020: INFO/MainProcess] Task planning.tasks.send_deadline_notification[dbb9955c-4aa0-4ce0-a0ab-3d40799dc272] received
celery-worker_1  | [2025-10-14 22:45:00,048: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 22:45:00,054: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[dbb9955c-4aa0-4ce0-a0ab-3d40799dc272] succeeded in 0.03242803504690528s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 23:00:00,014: INFO/MainProcess] Task planning.tasks.send_reminder_hours_before[60c8b638-bdb7-4ee1-8e61-aea0146aaf0b] received
celery-worker_1  | [2025-10-14 23:00:00,046: WARNING/ForkPoolWorker-2] [Rappel 3h] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 23:00:00,048: INFO/MainProcess] Task planning.tasks.send_deadline_notification[29a2c728-71fa-4146-b1be-087e8af8061a] received
celery-worker_1  | [2025-10-14 23:00:00,051: INFO/ForkPoolWorker-2] Task planning.tasks.send_reminder_hours_before[60c8b638-bdb7-4ee1-8e61-aea0146aaf0b] succeeded in 0.035924534779042006s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 23:00:00,082: WARNING/ForkPoolWorker-1] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 23:00:00,084: INFO/ForkPoolWorker-1] Task planning.tasks.send_deadline_notification[29a2c728-71fa-4146-b1be-087e8af8061a] succeeded in 0.034352630376815796s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 23:15:00,029: INFO/MainProcess] Task planning.tasks.send_deadline_notification[b96c4a75-9e28-4324-91eb-da18fed4778f] received
celery-worker_1  | [2025-10-14 23:15:00,058: WARNING/ForkPoolWorker-2] [Notif échéance] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 23:15:00,059: INFO/ForkPoolWorker-2] Task planning.tasks.send_deadline_notification[b96c4a75-9e28-4324-91eb-da18fed4778f] succeeded in 0.027715471107512712s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 23:30:00,020: INFO/MainProcess] Task planning.tasks.send_reminder_hours_before[a752c505-dee2-4c39-806d-ae384be761b9] received
celery-worker_1  | [2025-10-14 23:30:00,051: INFO/MainProcess] Task planning.tasks.send_deadline_notification[7d814983-e374-497b-8b2c-15352a305ac2] received
celery-worker_1  | [2025-10-14 23:30:00,067: WARNING/ForkPoolWorker-2] [Rappel 3h] Résumé: 0 envoyés, 0 échecs
celery-worker_1  | [2025-10-14 23:30:00,069: INFO/ForkPoolWorker-2] Task planning.tasks.send_reminder_hours_before[a752c505-dee2-4c39-806d-ae384be761b9] succeeded in 0.04763662023469806s: {'sent': 0, 'failed': 0}
celery-worker_1  | [2025-10-14 23:30:00,096: WARNING/ForkPoolWorker-1] [Notif échéance] Résumé: 0 envoyés, 0 échecs
